epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.612,4.77564,3.50369,4.12741,0,0,0,0,4.4135,3.59941,4.12228,0.00064,0.00064,0.00064
2,512.894,4.02703,2.69019,3.53572,0,0,0,0,4.41462,3.95566,4.23448,0.00128713,0.00128713,0.00128713
3,765.845,3.39904,2.22025,2.8207,0.02771,0.00447,0.01503,0.00442,4.13768,6.3725,3.87422,0.00192119,0.00192119,0.00192119
4,1023.83,3.18771,2.04181,2.49103,0.17398,0.1878,0.11898,0.03733,3.70685,5.48079,3.42871,0.0019406,0.0019406,0.0019406
5,1280.18,2.9863,1.88163,2.31218,0.2206,0.27941,0.1374,0.04314,3.25488,7.64951,3.03382,0.0019208,0.0019208,0.0019208
6,1528.21,2.85794,1.87191,2.2003,0.36009,0.27907,0.24956,0.08492,2.89906,10.2778,2.71009,0.001901,0.001901,0.001901
7,1785.6,2.79667,1.77972,2.096,0.35116,0.35833,0.2999,0.09798,2.89631,5.08155,2.7282,0.0018812,0.0018812,0.0018812
8,2037.33,2.72445,1.72853,2.07151,0.46166,0.30711,0.35526,0.12554,2.68821,3.81223,2.47637,0.0018614,0.0018614,0.0018614
9,2289.23,2.66329,1.6497,2.02354,0.78487,0.18984,0.48341,0.20891,2.52852,2.36876,2.34865,0.0018416,0.0018416,0.0018416
10,2544.91,2.63293,1.61034,1.977,0.66468,0.22724,0.43811,0.17345,2.62089,2.54734,2.42235,0.0018218,0.0018218,0.0018218
11,2794.12,2.59167,1.61277,1.96681,0.45137,0.32541,0.34297,0.12646,2.57328,2.22295,2.35884,0.001802,0.001802,0.001802
12,3049.97,2.58748,1.59106,1.98206,0.76287,0.22886,0.49371,0.21043,2.58601,2.45413,2.33461,0.0017822,0.0017822,0.0017822
13,3309.94,2.54357,1.5223,1.90906,0.55313,0.44898,0.50376,0.18608,2.44288,2.31543,2.23489,0.0017624,0.0017624,0.0017624
14,3565.6,2.48459,1.50732,1.88718,0.72205,0.28882,0.5033,0.22075,2.4382,2.31681,2.21757,0.0017426,0.0017426,0.0017426
15,3824.24,2.4667,1.47775,1.83797,0.60308,0.44593,0.5331,0.20992,2.44534,2.01991,2.23396,0.0017228,0.0017228,0.0017228
16,4079.77,2.44276,1.46745,1.8443,0.64156,0.44492,0.55125,0.22645,2.40624,2.02602,2.20411,0.001703,0.001703,0.001703
17,4336.71,2.40489,1.45385,1.81913,0.56151,0.51423,0.55353,0.21627,2.38729,2.12514,2.19648,0.0016832,0.0016832,0.0016832
18,4592.02,2.37633,1.42024,1.80832,0.75895,0.35772,0.5576,0.24272,2.37133,2,2.18955,0.0016634,0.0016634,0.0016634
19,4847.24,2.37318,1.41195,1.79793,0.7408,0.39268,0.5693,0.25749,2.3342,2.29412,2.17199,0.0016436,0.0016436,0.0016436
20,5097.34,2.3353,1.40642,1.7764,0.77109,0.30467,0.5319,0.24613,2.39125,2.11803,2.1918,0.0016238,0.0016238,0.0016238
21,5355.23,2.3534,1.40646,1.7861,0.78524,0.28984,0.531,0.24689,2.3434,1.93535,2.15076,0.001604,0.001604,0.001604
22,5614.79,2.31962,1.35078,1.74499,0.62288,0.50122,0.56872,0.24511,2.34458,1.81699,2.13991,0.0015842,0.0015842,0.0015842
23,5872.99,2.29968,1.36746,1.75947,0.71212,0.3811,0.54083,0.24287,2.27949,1.81709,2.09346,0.0015644,0.0015644,0.0015644
24,6132.53,2.29046,1.32289,1.73682,0.4887,0.40407,0.42442,0.15507,2.51828,2.06471,2.24999,0.0015446,0.0015446,0.0015446
25,6385.68,2.30129,1.38027,1.76956,0.78222,0.27012,0.5232,0.22487,2.48309,1.8299,2.24008,0.0015248,0.0015248,0.0015248
26,6639.27,2.32305,1.36439,1.76081,0.81032,0.29695,0.55151,0.26059,2.27381,1.79261,2.08945,0.001505,0.001505,0.001505
27,6894.37,2.26958,1.30873,1.73268,0.68229,0.51199,0.60503,0.27087,2.23082,1.98569,2.04681,0.0014852,0.0014852,0.0014852
28,7145.54,2.2452,1.33559,1.73847,0.79892,0.36016,0.57896,0.27193,2.30779,1.84736,2.09263,0.0014654,0.0014654,0.0014654
29,7405.71,2.25344,1.32585,1.72081,0.61045,0.50802,0.56766,0.23369,2.2888,1.80868,2.08848,0.0014456,0.0014456,0.0014456
30,7657.72,2.23044,1.30282,1.70844,0.78622,0.4313,0.60506,0.2892,2.22593,1.75686,2.06087,0.0014258,0.0014258,0.0014258
31,7915.29,2.221,1.30041,1.70949,0.73474,0.51118,0.62223,0.27937,2.23407,1.71796,2.06172,0.001406,0.001406,0.001406
32,8171.37,2.21795,1.24369,1.6911,0.79233,0.43659,0.6185,0.29061,2.19615,1.62585,2.03014,0.0013862,0.0013862,0.0013862
33,8422.86,2.20305,1.24943,1.7069,0.70321,0.5124,0.61894,0.28631,2.15926,1.73101,1.99503,0.0013664,0.0013664,0.0013664
34,8677.79,2.18643,1.23281,1.66625,0.68053,0.54553,0.63218,0.2857,2.21532,1.63895,2.03233,0.0013466,0.0013466,0.0013466
35,8940.87,2.17387,1.20305,1.65112,0.70998,0.52195,0.62166,0.28046,2.20134,1.7032,2.03065,0.0013268,0.0013268,0.0013268
36,9201.43,2.19069,1.23285,1.66384,0.74089,0.5248,0.64236,0.2996,2.1494,1.56219,1.98552,0.001307,0.001307,0.001307
37,9452.66,2.16707,1.23002,1.68163,0.6081,0.55224,0.59665,0.2581,2.22753,1.80542,2.0431,0.0012872,0.0012872,0.0012872
38,9706.75,2.16261,1.21393,1.64683,0.74683,0.51504,0.63811,0.29632,2.16569,1.60104,2.00375,0.0012674,0.0012674,0.0012674
39,9968.64,2.16627,1.20269,1.64407,0.76264,0.50285,0.636,0.29785,2.15982,1.54361,1.99706,0.0012476,0.0012476,0.0012476
40,10217.2,2.15393,1.20542,1.65101,0.7538,0.51463,0.64244,0.30672,2.12388,1.54646,1.96107,0.0012278,0.0012278,0.0012278
41,10469.1,2.1552,1.20061,1.66146,0.75572,0.49675,0.62687,0.30247,2.14075,1.60804,1.97697,0.001208,0.001208,0.001208
42,10719.9,2.10997,1.1858,1.64411,0.79715,0.43211,0.61727,0.3019,2.13746,1.50353,1.96971,0.0011882,0.0011882,0.0011882
43,10977.2,2.16573,1.20391,1.64104,0.72183,0.54167,0.64375,0.3034,2.15565,1.5784,1.97574,0.0011684,0.0011684,0.0011684
44,11233.6,2.11675,1.16026,1.60555,0.67268,0.55305,0.62941,0.28253,2.16016,1.47517,1.96318,0.0011486,0.0011486,0.0011486
45,11484,2.12726,1.16953,1.63243,0.75038,0.50711,0.6424,0.30008,2.18303,1.54787,2.01516,0.0011288,0.0011288,0.0011288
46,11734,2.12643,1.17283,1.63019,0.68363,0.58963,0.648,0.28789,2.16884,1.85609,1.99085,0.001109,0.001109,0.001109
47,11987.8,2.09371,1.14241,1.61514,0.77028,0.49207,0.63509,0.31019,2.08381,1.52692,1.91279,0.0010892,0.0010892,0.0010892
